,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
704,450711374,200.0,Striped Woven Silk Tie,1242,Gucci,http://bim.shopstyle.com/pim/b7/59/b759ddc9f27ff063303a66736bc4fd62_best.jpg,"<ul> <li>black and dark brown</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>",Gucci,unknown,_silk,False
705,450711400,200.0,Patterned Woven Silk Tie,1242,Gucci,http://bim.shopstyle.com/pim/0e/ef/0eef4ce90828d5af109c075ab0f555a9_best.jpg,"<ul> <li>black and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>",Gucci,unknown,_silk,False
711,355490912,200.0,GG pattern silk jacquard tie,1242,Gucci,http://bim.shopstyle.com/pim/49/65/496519d68d57efc028d5a5926084c8cf_best.jpg,"<ul> <li>website exclusive</li> <li>pink and beige</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>",Gucci,unknown,_silk,False
889,461789824,95.0,Gucci Tie,1242,Gucci,http://bim.shopstyle.com/pim/b5/c4/b5c497414802b98aa3fc0fb4936e12ae_best.jpg,"Men's crimson, navy and sky blue Gucci silk necktie with geometric print throughout.",TheRealReal,_print,_silk,False
899,462481911,75.0,Gucci Tie,1242,Gucci,http://bim.shopstyle.com/pim/78/7a/787a51c045736393716ff8a1afab8d55_best.jpg,Men's grey and navy Gucci silk necktie with geometric print throughout.,TheRealReal,_print,_silk,False
905,461792980,95.0,Gucci Tie,1242,Gucci,http://bim.shopstyle.com/pim/7e/d3/7ed3e5da320586c9f4e729858a30a87e_best.jpg,"Men's burgundy, red and orange Gucci silk necktie with geometric print throughout.",TheRealReal,_print,_silk,False
914,464975641,50.0,Gucci Tie,1242,Gucci,http://bim.shopstyle.com/pim/c9/f7/c9f760ca7747c147693c2bbf972ee4f9_best.jpg,"Men's beige, green and brick Gucci silk printed tie.",TheRealReal,_print,_silk,False
1091,450758048,145.85,Gucci dogtooth tie,1242,Gucci,http://bim.shopstyle.com/pim/ab/d7/abd7b97abce0d538e4f7a6bd80aebd08_best.jpg,Black and white silk dogtooth tie from Gucci featuring a pointed tip.,farfetch.com,unknown,_silk,False
1092,457959024,151.26,Gucci classic tie,1242,Gucci,http://bim.shopstyle.com/pim/15/42/1542ec2d67e49c621980a5a0e7739f72_best.jpg,Grey silk classic tie from Gucci featuring a branded rear patch and an embroidered logo to the rear.,farfetch.com,unknown,_silk,False
1136,452966849,265.0,Gucci classic tie,1242,Gucci,http://bim.shopstyle.com/pim/5f/2e/5f2e32193e4a047ae48ffbd424530246_best.jpg,Navy silk classic tie from Gucci featuring a pointed tip.,farfetch.com,unknown,_silk,False
1465,453573192,174.0,Gucci Small-GG jacquard silk tie,1242,Gucci,http://bim.shopstyle.com/pim/dd/d2/ddd2af7cf3ef82e69f3d4d09d28f68b0_best.jpg,"<ul><li>Black, dark-grey and light-grey GG-jacquard, silk</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>",MATCHESFASHION.COM,unknown,_silk,False
1466,453573194,174.0,Gucci Horsebit-jacquard silk tie,1242,Gucci,http://bim.shopstyle.com/pim/7d/79/7d7947ccbf9d2f8612834cb3ac732ab9_best.jpg,"<ul><li>Navy, burgundy and silver-grey horsebit-jacquard, silk</li><li>Navy GG jacquard lining </li><li>100% silk</li><li>Dry clean</li><li>Country of origin: Italy</li></ul>",MATCHESFASHION.COM,unknown,_silk,False
1467,453573230,174.0,Gucci Horsebit-jacquard silk tie,1242,Gucci,http://bim.shopstyle.com/pim/1f/75/1f7598c96977a64ee0d76563ffcddc6f_best.jpg,"<ul><li>Forest-green, dark-brown and champagne-beige horsebit jacquard, silk</li><li>Dark-brown GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>",MATCHESFASHION.COM,unknown,_silk,False
1469,453573329,174.0,Gucci Retro silk tie,1242,Gucci,http://bim.shopstyle.com/pim/d8/5e/d85ecfb5bbe6d43301bb01fb2170b59a_best.jpg,"<ul><li>Khaki-brown and black geometric jacquard, silk</li><li>Silver-grey jacquard pin-dots</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>",MATCHESFASHION.COM,unknown,_silk,False
1822,453573317,174.0,Gucci Micro-weave jacquard silk tie,1242,Gucci,http://bim.shopstyle.com/pim/3d/c7/3dc765cb3ae9fa5578049db215c14232_best.jpg,"<ul><li>Navy and dark-greyjacquard, silk</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>",MATCHESFASHION.COM,unknown,_silk,False
1823,453861901,174.0,Gucci Retro silk tie,1242,Gucci,http://bim.shopstyle.com/pim/81/7f/817fbe2d912fb4edc96ebd381bf62c93_best.jpg,"<ul><li>Silver-grey and navy geometric-jacquard, silk</li><li>Red jacquard pin-dots</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>",MATCHESFASHION.COM,unknown,_silk,False
1836,457219051,147.0,Gucci Wool and silk-blend bow tie,1242,Gucci,http://bim.shopstyle.com/pim/f7/b8/f7b8e2305fc74eb68bfe7ccb48b06cbf_best.jpg,"<ul><li>Black, wool and silk-blend</li><li>Adjustable hook fastening</li><li>68% wool, 32% silk</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>",MATCHESFASHION.COM,unknown,_wool,False
1839,450711320,200.0,Striped Woven Silk Tie,1242,Gucci,http://bim.shopstyle.com/pim/1c/7b/1c7bcd93fdaf89ece368e5a2f3dbb7d6_best.jpg,"<ul> <li>red and dark grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>",Gucci,unknown,_silk,False
1840,450711325,200.0,Patterned Woven Silk Tie,1242,Gucci,http://bim.shopstyle.com/pim/ce/fb/cefb07f40420f7e8b5f62e2a41d6b355_best.jpg,"<ul> <li>olive green</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>",Gucci,unknown,_silk,False
1841,450711337,170.0,Striped Silk Twill Bow Tie,1242,Gucci,http://bim.shopstyle.com/pim/ac/e2/ace2abaae8af63998348cb9e673d1d6e_best.jpg,<ul> <li>dark blue and red</li> <li>100% silk</li> <li>Made in Italy</li> </ul>,Gucci,unknown,_silk,False
1842,429772996,200.0,GG patterned silk twill tie,1242,Gucci,http://bim.shopstyle.com/pim/34/a6/34a61d153c131f8767e5424a23b821eb_best.jpg,"<ul> <li>navy and beige</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>",Gucci,unknown,_silk,False
1843,355488578,200.0,Solid Tie.,1242,Gucci,http://bim.shopstyle.com/pim/aa/93/aa93f24233a69dc9824161aa19c0db3e_best.jpg,"<ul> <li>website exclusive</li> <li>white</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>",Gucci,unknown,_silk,False
1844,355492179,200.0,Gg Pattern Silk Tie,1242,Gucci,http://bim.shopstyle.com/pim/30/01/30018d9d4c8489c74e09a58a0eb6c1d3_best.jpg,"<ul> <li>grey GG</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>",Gucci,unknown,_silk,False
1845,429773033,165.0,Dot Patterned Silk Bow Tie,1242,Gucci,http://bim.shopstyle.com/pim/71/3b/713bb8e17e688451eb3871a28ee3fcff_best.jpg,<ul> <li>black and white</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> </ul>,Gucci,unknown,_silk,False
1846,429773044,165.0,Dot Patterned Silk Bow Tie,1242,Gucci,http://bim.shopstyle.com/pim/43/d3/43d3857b9e0f96c9a98bb53eec013648_best.jpg,<ul> <li>lilac and blue</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> </ul>,Gucci,unknown,_silk,False
1847,450710651,200.0,Dotted Woven Silk Tie,1242,Gucci,http://bim.shopstyle.com/pim/ec/82/ec82af50f2aa4bdf3d6704d2171713d6_best.jpg,"<ul> <li>sapphire blue and dark grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>",Gucci,unknown,_silk,False
1848,450711035,200.0,Dotted Woven Silk Tie,1242,Gucci,http://bim.shopstyle.com/pim/46/df/46dfe5b5fba52748e7188a4cc801cf69_best.jpg,"<ul> <li>black and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>",Gucci,unknown,_silk,False
1849,450711540,200.0,Dotted Woven Silk Tie,1242,Gucci,http://bim.shopstyle.com/pim/01/80/018000bf9aac0bef724205aa185708ae_best.jpg,"<ul> <li>brown and light brown</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>",Gucci,unknown,_silk,False
1850,450710782,200.0,Interlocking G Striped Woven Silk Tie,1242,Gucci,http://bim.shopstyle.com/pim/39/d7/39d7e49d1d885acd4b21e0fbee0cb4e9_best.jpg,"<ul> <li>orange and light brown</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>",Gucci,unknown,_silk,False
1851,450711075,200.0,Striped Woven Silk Tie,1242,Gucci,http://bim.shopstyle.com/pim/05/d1/05d1c4b4cecac8b332cc3243119220eb_best.jpg,"<ul> <li>periwinkle and red</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>",Gucci,unknown,_silk,False
1852,355490099,190.0,GG pattern tie.,1242,Gucci,http://bim.shopstyle.com/pim/a2/a1/a2a184309113fd83a7fd651e7d9bfefe_best.jpg,"<ul> <li>black with beige GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>",Gucci,unknown,_silk,False
1853,355489027,200.0,GG pattern tie.,1242,Gucci,http://bim.shopstyle.com/pim/0b/79/0b799b07cfc647d490b745d60af4e2e8_best.jpg,"<ul> <li>light grey with grey GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>",Gucci,unknown,_silk,False
1854,450710620,200.0,interlocking G pattern silk wool tie,1242,Gucci,http://bim.shopstyle.com/pim/99/bb/99bb8ce0777e4b5a67bf0d4e6cbc2b46_best.jpg,"<ul> <li>dark grey with light grey</li> <li>87% silk and 13% wool</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>",Gucci,unknown,_wool,False
1855,450711049,200.0,Interlocking G Striped Woven Silk Tie,1242,Gucci,http://bim.shopstyle.com/pim/93/93/939364fdf83236888d43fbefd2b3ed4e_best.jpg,"<ul> <li>light blue and blue</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>",Gucci,unknown,_silk,False
